,Country,Date,Hemisphere,MonthOrder
783,USA,Jul,North,7.0
784,USA,Jul,North,7.0
785,USA,Jul,North,7.0
786,USA,Jul,North,7.0
787,SPAIN,Jul,North,7.0
788,USA,Jul,North,7.0
789,USA,Jul,North,7.0
790,SOUTH AFRICA,Jul,South,7.0
791,USA,Jul,North,7.0
792,USA,Jul,North,7.0
793,USA,Jul,North,7.0
794,USA,Jul,North,6.0
795,USA,Jun,North,6.0
796,USA,Jun,North,6.0
797,VIETNAM,Jun,North,6.0
798,USA,Jun,North,6.0
799,AUSTRALIA,Jun,South,6.0
800,USA,Jun,North,6.0
801,USA,Jun,North,5.0
802,VIETNAM,May,North,5.0
803,VIETNAM,May,North,5.0
804,AUSTRALIA,May,South,5.0
805,MADAGASCAR,May,South,5.0
806,USA,May,North,5.0
807,USA,May,North,4.0
808,USA,Apr,North,4.0
809,SOUTH AFRICA,Apr,South,4.0
810,EGYPT,Apr,North,4.0
811,REUNION,Apr,South,3.0
812,NEW ZEALAND,Mar,South,2.0
813,SOUTH AFRICA,Feb,South,2.0
814,FIJI,Feb,South,2.0
815,AUSTRALIA,Feb,South,2.0
816,AUSTRALIA,Feb,South,2.0
817,NEW ZEALAND,Feb,South,2.0
818,AUSTRALIA,Feb,South,2.0
819,USA,Feb,North,2.0
820,GUAM,Feb,South,2.0
821,USA,Feb,North,2.0
822,NEW ZEALAND,Feb,South,2.0
823,BRAZIL,Feb,South,1.0
824,AUSTRALIA,Jan,South,1.0
825,UNITED ARAB EMIRATES,Jan,North,1.0
826,AUSTRALIA,Jan,South,1.0
827,SOUTH AFRICA,Jan,South,1.0
828,AUSTRALIA,Jan,South,1.0
829,VIETNAM,Jan,North,1.0
830,VIETNAM,Jan,North,1.0
831,VIETNAM,Jan,North,1.0
832,USA,Jan,North,1.0
833,SOUTH AFRICA,Jan,South,1.0
834,SOUTH AFRICA,Jan,South,12.0
835,AUSTRALIA,Dec,South,12.0
836,MOZAMBIQUE,Dec,South,12.0
837,AUSTRALIA,Dec,South,12.0
838,AUSTRALIA,Dec,South,12.0
839,SOUTH AFRICA,Dec,South,12.0
840,SOUTH AFRICA,Dec,South,12.0
841,NEW ZEALAND,Dec,South,12.0
842,AUSTRALIA,Dec,South,12.0
843,AUSTRALIA,Dec,South,12.0
844,USA,Dec,North,12.0
845,USA,Dec,North,11.0
846,USA,Nov,North,11.0
847,USA,Nov,North,11.0
848,USA,Nov,North,11.0
849,USA,Nov,North,11.0
850,USA,Nov,North,11.0
851,AUSTRALIA,Nov,South,11.0
852,USA,Nov,North,11.0
853,AUSTRALIA,Nov,South,10.0
854,MOZAMBIQUE,Oct,South,10.0
855,AUSTRALIA,Oct,South,10.0
856,USA,Oct,North,10.0
857,USA,Oct,North,10.0
858,PANAMA,Oct,North,10.0
859,SCOTLAND,Oct,North,10.0
860,AUSTRALIA,Oct,South,10.0
861,USA,Oct,North,10.0
862,UNITED KINGDOM,Oct,North,10.0
863,USA,Oct,North,9.0
864,VIETNAM,Sep,North,9.0
865,SOMALIA,Sep,North,9.0
866,BRAZIL,Sep,South,9.0
867,USA,Sep,North,9.0
868,BRAZIL,Sep,South,9.0
869,NEVIS,Sep,North,9.0
870,SOLOMON ISLANDS,Sep,South,9.0
871,USA,Sep,North,8.0
872,SOUTH AFRICA,Aug,South,8.0
873,USA,Aug,North,8.0
874,SOUTH AFRICA,Aug,South,8.0
875,USA,Aug,North,8.0
876,USA,Aug,North,8.0
877,USA,Aug,North,8.0
878,BAHAMAS,Aug,North,7.0
879,AUSTRALIA,Jul,South,7.0
880,VIETNAM,Jul,North,7.0
881,KENYA,Jul,North,7.0
882,USA,Jul,North,7.0
883,SPAIN,Jul,North,7.0
884,USA,Jul,North,7.0
885,USA,Jul,North,7.0
886,VIETNAM,Jul,North,7.0
887,BAHAMAS,Jul,North,7.0
888,USA,Jul,North,7.0
889,SOUTH AFRICA,Jul,South,7.0
890,USA,Jul,North,7.0
891,USA,Jul,North,7.0
892,AUSTRALIA,Jul,South,6.0
893,USA,Jun,North,6.0
894,USA,Jun,North,6.0
895,VIETNAM,Jun,North,6.0
896,EGYPT,Jun,North,6.0
897,EGYPT,Jun,North,6.0
898,EGYPT,Jun,North,6.0
899,TAIWAN,Jun,North,5.0
900,USA,May,North,5.0
901,USA,May,North,5.0
902,USA,May,North,5.0
903,USA,May,North,5.0
904,GUAM,May,South,5.0
905,BAHAMAS,May,North,3.0
906,USA,Mar,North,4.0
907,USA,Apr,North,4.0
908,USA,Apr,North,4.0
909,PHILIPPINES,Apr,North,4.0
910,USA,Apr,North,4.0
911,AUSTRALIA,Apr,South,4.0
912,USA,Apr,North,4.0
913,USA,Apr,North,4.0
914,SOUTH AFRICA,Apr,South,4.0
915,USA,Apr,North,4.0
916,USA,Apr,North,4.0
917,SOUTH AFRICA,Apr,South,3.0
918,SOUTH AFRICA,Mar,South,3.0
919,AUSTRALIA,Mar,South,3.0
920,AUSTRALIA,Mar,South,3.0
921,AUSTRALIA,Mar,South,3.0
922,USA,Mar,North,3.0
923,MALAYSIA,Mar,North,3.0
924,USA,Mar,North,3.0
925,AUSTRALIA,Mar,South,3.0
926,NEW CALEDONIA,Mar,South,3.0
927,SOUTH AFRICA,Mar,South,3.0
928,NEW ZEALAND,Mar,South,3.0
929,AUSTRALIA,Mar,South,3.0
930,AUSTRALIA,Mar,South,2.0
931,AUSTRALIA,Feb,South,2.0
932,AUSTRALIA,Feb,South,2.0
933,AUSTRALIA,Feb,South,2.0
934,USA,Feb,North,2.0
935,AUSTRALIA,Feb,South,2.0
936,AUSTRALIA,Feb,South,2.0
937,AZORES,Feb,North,1.0
938,BRAZIL,Jan,South,1.0
939,CUBA,Jan,North,1.0
940,NEW ZEALAND,Jan,South,1.0
941,AUSTRALIA,Jan,South,1.0
942,SOUTH AFRICA,Jan,South,1.0
943,BRAZIL,Jan,South,1.0
944,AUSTRALIA,Jan,South,1.0
945,NEW ZEALAND,Jan,South,1.0
946,SOUTH AFRICA,Jan,South,1.0
947,AUSTRALIA,Jan,South,1.0
948,AUSTRALIA,Jan,South,1.0
949,AUSTRALIA,Jan,South,1.0
950,NEW ZEALAND,Jan,South,1.0
951,ECUADOR,Jan,South,1.0
952,NEW ZEALAND,Jan,South,1.0
953,CUBA,Jan,North,1.0
954,AUSTRALIA,Jan,South,12.0
955,AUSTRALIA,Dec,South,12.0
956,AUSTRALIA,Dec,South,12.0
957,AUSTRALIA,Dec,South,12.0
958,AUSTRALIA,Dec,South,12.0
959,USA,Dec,North,12.0
960,NEW ZEALAND,Dec,South,12.0
961,SOUTH AFRICA,Dec,South,12.0
962,AUSTRALIA,Dec,South,12.0
963,MOZAMBIQUE,Dec,South,12.0
964,EGYPT,Dec,North,11.0
965,PHILIPPINES,Nov,North,11.0
966,ECUADOR,Nov,South,11.0
967,AUSTRALIA,Nov,South,11.0
968,TAIWAN,Nov,North,11.0
969,PHILIPPINES,Nov,North,11.0
970,AUSTRALIA,Nov,South,10.0
971,NEW CALEDONIA,Oct,South,10.0
972,AUSTRALIA,Oct,South,10.0
973,AUSTRALIA,Oct,South,10.0
974,USA,Oct,North,10.0
975,CROATIA,Oct,North,10.0
976,USA,Oct,North,9.0
977,USA,Sep,North,9.0
978,AUSTRALIA,Sep,South,9.0
979,USA,Sep,North,9.0
980,USA,Sep,North,9.0
981,USA,Sep,North,9.0
982,AUSTRALIA,Sep,South,9.0
983,USA,Sep,North,9.0
984,USA,Sep,North,9.0
985,USA,Sep,North,9.0
986,USA,Sep,North,9.0
987,AUSTRALIA,Sep,South,8.0
988,USA,Aug,North,8.0
989,ENGLAND,Aug,North,8.0
990,USA,Aug,North,8.0
991,USA,Aug,North,8.0
992,USA,Aug,North,8.0
993,USA,Aug,North,8.0
994,USA,Aug,North,8.0
995,USA,Aug,North,8.0
996,USA,Aug,North,8.0
997,USA,Aug,North,8.0
998,USA,Aug,North,8.0
999,AUSTRALIA,Aug,South,7.0
1000,SOUTH AFRICA,Jul,South,7.0
1001,PANAMA,Jul,North,7.0
1002,MEXICO,Jul,North,7.0
1003,USA,Jul,North,7.0
1004,USA,Jul,North,7.0
1005,USA,Jul,North,7.0
1006,USA,Jul,North,7.0
1007,USA,Jul,North,7.0
1008,USA,Jul,North,7.0
1009,USA,Jul,North,7.0
1010,EGYPT,Jul,North,7.0
1011,USA,Jul,North,7.0
1012,USA,Jul,North,7.0
1013,USA,Jul,North,7.0
1014,USA,Jul,North,7.0
1015,UNITED KINGDOM,Jul,North,7.0
1016,USA,Jul,North,6.0
1017,BAHAMAS,Jun,North,6.0
1018,SOUTH AFRICA,Jun,South,6.0
1019,SOUTH AFRICA,Jun,South,6.0
1020,USA,Jun,North,6.0
1021,USA,Jun,North,6.0
1022,BRAZIL,Jun,South,6.0
1023,USA,Jun,North,6.0
1024,USA,Jun,North,6.0
1025,BRAZIL,Jun,South,6.0
1026,USA,Jun,North,6.0
1027,SCOTLAND,Jun,North,6.0
1028,USA,Jun,North,6.0
1029,BRAZIL,Jun,South,6.0
1030,USA,Jun,North,5.0
1031,BAHAMAS,May,North,5.0
1032,MEXICO,May,North,5.0
1033,MEXICO,May,North,5.0
1034,FIJI,May,South,5.0
1035,AUSTRALIA,May,South,5.0
1036,NEW CALEDONIA,May,South,5.0
1037,USA,May,North,5.0
1038,SOUTH AFRICA,May,South,5.0
1039,MEXICO,May,North,4.0
1040,USA,Apr,North,4.0
1041,USA,Apr,North,4.0
1042,NEW CALEDONIA,Apr,South,4.0
1043,USA,Apr,North,4.0
1044,USA,Apr,North,4.0
1045,USA,Apr,North,4.0
1046,AUSTRALIA,Apr,South,4.0
1047,SOUTH AFRICA,Apr,South,4.0
1048,MEXICO,Apr,North,4.0
1049,AUSTRALIA,Apr,South,4.0
1050,USA,Apr,North,4.0
1051,USA,Apr,North,3.0
1052,FIJI,Mar,South,4.0
1053,USA,Apr,North,4.0
1054,AUSTRALIA,Apr,South,4.0
1055,USA,Apr,North,4.0
1056,SOUTH AFRICA,Apr,South,3.0
1057,USA,Mar,North,3.0
1058,USA,Mar,North,3.0
1059,USA,Mar,North,3.0
1060,USA,Mar,North,3.0
1061,USA,Mar,North,3.0
1062,USA,Mar,North,3.0
1063,BAHAMAS,Mar,North,2.0
1064,FRENCH POLYNESIA,Feb,South,2.0
1065,USA,Feb,North,2.0
1066,AUSTRALIA,Feb,South,2.0
1067,USA,Feb,North,2.0
1068,SOUTH AFRICA,Feb,South,1.0
1069,AUSTRALIA,Jan,South,1.0
1070,NEW ZEALAND,Jan,South,1.0
1071,NEW ZEALAND,Jan,South,1.0
1072,USA,Jan,North,1.0
1073,ECUADOR,Jan,South,12.0
1076,AUSTRALIA,Dec,South,12.0
1077,AUSTRALIA,Dec,South,12.0
1078,USA,Dec,North,12.0
1079,NEW ZEALAND,Dec,South,12.0
1080,BRAZIL,Dec,South,12.0
1081,AUSTRALIA,Dec,South,11.0
1082,AUSTRALIA,Dec,South,11.0
1083,SOUTH AFRICA,Dec,South,11.0
1084,USA,Nov,North,11.0
1085,USA,Nov,North,11.0
1086,SOUTH AFRICA,Nov,South,11.0
1087,MEXICO,Nov,North,11.0
1088,USA,Nov,North,10.0
1089,AUSTRALIA,Nov,South,10.0
1090,AUSTRALIA,Nov,South,10.0
1091,USA,Oct,North,10.0
1092,USA,Oct,North,10.0
1093,USA,Oct,North,9.0
1094,PHILIPPINES,Oct,North,9.0
1095,NEW CALEDONIA,Oct,South,9.0
1096,BAHAMAS,Sep,North,9.0
1097,USA,Sep,North,9.0
1098,EGYPT,Sep,North,9.0
1099,USA,Sep,North,9.0
1100,USA,Sep,North,9.0
1101,USA,Sep,North,9.0
1102,SOLOMON ISLANDS,Sep,South,9.0
1103,USA,Sep,North,9.0
1104,USA,Sep,North,9.0
1105,USA,Sep,North,9.0
1106,USA,Sep,North,9.0
1107,USA,Sep,North,9.0
1108,USA,Sep,North,9.0
1109,USA,Sep,North,9.0
1110,USA,Sep,North,9.0
1111,USA,Sep,North,8.0
1112,USA,Sep,North,8.0
1113,USA,Sep,North,8.0
1114,USA,Aug,North,8.0
1115,USA,Aug,North,8.0
1116,USA,Aug,North,8.0
1117,USA,Aug,North,8.0
1118,USA,Aug,North,8.0
1119,USA,Aug,North,8.0
1120,USA,Aug,North,8.0
1121,USA,Aug,North,8.0
1122,USA,Aug,North,8.0
1123,USA,Aug,North,8.0
1124,USA,Aug,North,8.0
1125,USA,Aug,North,8.0
1126,USA,Aug,North,7.0
1127,USA,Aug,North,7.0
1128,USA,Aug,North,7.0
1129,USA,Jul,North,7.0
1130,USA,Jul,North,7.0
1131,AUSTRALIA,Jul,South,7.0
1132,USA,Jul,North,7.0
1133,NORWAY,Jul,North,7.0
1134,USA,Jul,North,7.0
1135,USA,Jul,North,7.0
1136,BAHAMAS,Jul,North,7.0
1137,USA,Jul,North,7.0
1138,REUNION,Jul,South,7.0
1139,SENEGAL,Jul,North,7.0
1140,USA,Jul,North,6.0
1141,USA,Jul,North,6.0
1142,USA,Jul,North,6.0
1143,USA,Jun,North,6.0
1144,USA,Jun,North,6.0
1145,USA,Jun,North,6.0
1146,AUSTRALIA,Jun,South,6.0
1147,USA,Jun,North,5.0
1148,USA,Jun,North,5.0
1149,ENGLAND,Jun,North,5.0
1150,AUSTRALIA,May,South,5.0
1151,AUSTRALIA,May,South,5.0
1152,USA,May,North,5.0
1153,SEYCHELLES,May,South,5.0
1154,AUSTRALIA,May,South,5.0
1155,USA,May,North,5.0
1156,USA,May,North,5.0
1157,TURKS & CAICOS,May,North,5.0
1158,BAHAMAS,May,North,5.0
1159,AUSTRALIA,May,South,4.0
1160,USA,May,North,4.0
1161,USA,May,North,4.0
1162,USA,Apr,North,4.0
1163,NEW CALEDONIA,Apr,South,4.0
1164,USA,Apr,North,4.0
1165,USA,Apr,North,3.0
1166,USA,Apr,North,3.0
1167,YEMEN,Apr,North,3.0
1168,USA,Mar,North,3.0
1169,AUSTRALIA,Mar,South,3.0
1170,USA,Mar,North,3.0
1171,AUSTRALIA,Mar,South,3.0
1172,USA,Mar,North,3.0
1173,NEW ZEALAND,Mar,South,3.0
1174,COSTA RICA,Mar,North,2.0
1175,AUSTRALIA,Mar,South,2.0
1176,NEW CALEDONIA,Mar,South,2.0
1177,NEW CALEDONIA,Feb,South,1.0
1178,USA,Feb,North,1.0
1179,AUSTRALIA,Feb,South,1.0
1180,AUSTRALIA,Jan,South,1.0
1181,SOUTH AFRICA,Jan,South,1.0
1182,AUSTRALIA,Jan,South,1.0
1183,USA,Jan,North,1.0
1184,USA,Jan,North,1.0
1185,AUSTRALIA,Jan,South,12.0
1186,NEW ZEALAND,Jan,South,12.0
1187,USA,Jan,North,12.0
1188,SOUTH AFRICA,Dec,South,12.0
1189,AUSTRALIA,Dec,South,12.0
1190,PHILIPPINES,Dec,North,11.0
1191,USA,Dec,North,11.0
1192,SOUTH AFRICA,Dec,South,11.0
1193,USA,Nov,North,10.0
1194,USA,Nov,North,10.0
1195,USA,Nov,North,10.0
1196,USA,Oct,North,10.0
1197,USA,Oct,North,10.0
1198,BAHAMAS,Oct,North,10.0
1199,GULF OF ADEN,Oct,North,10.0
1200,SOUTH AFRICA,Oct,South,9.0
1201,USA,Oct,North,9.0
1202,USA,Oct,North,9.0
1203,USA,Sep,North,9.0
1204,USA,Sep,North,9.0
1205,USA,Sep,North,9.0
1206,AUSTRALIA,Sep,South,9.0
1207,BRAZIL,Sep,South,9.0
1208,USA,Sep,North,9.0
1209,USA,Sep,North,9.0
1210,SOUTH AFRICA,Sep,South,9.0
1211,USA,Sep,North,8.0
1212,AUSTRALIA,Sep,South,8.0
1213,REUNION,Sep,South,8.0
1214,BRAZIL,Aug,South,8.0
1215,BELIZE,Aug,North,8.0
1216,ITALY,Aug,North,8.0
1217,REUNION,Aug,South,8.0
1218,SOUTH AFRICA,Aug,South,8.0
1219,SOUTH AFRICA,Aug,South,8.0
1220,USA,Aug,North,8.0
1221,REUNION,Aug,South,8.0
1222,USA,Aug,North,7.0
1223,USA,Aug,North,7.0
1224,USA,Aug,North,7.0
1225,USA,Jul,North,7.0
1226,SOUTH AFRICA,Jul,South,7.0
1227,USA,Jul,North,7.0
1228,USA,Jul,North,7.0
1229,AUSTRALIA,Jul,South,7.0
1230,USA,Jul,North,7.0
1231,SPAIN,Jul,North,7.0
1232,USA,Jul,North,7.0
1233,BRAZIL,Jul,South,7.0
1234,USA,Jul,North,7.0
1235,USA,Jul,North,7.0
1236,USA,Jul,North,7.0
1237,USA,Jul,North,7.0
1238,USA,Jul,North,7.0
1239,USA,Jul,North,7.0
1240,USA,Jul,North,6.0
1241,USA,Jul,North,6.0
1242,BAHAMAS,Jul,North,6.0
1243,USA,Jun,North,6.0
1244,BRAZIL,Jun,South,6.0
1245,USA,Jun,North,6.0
1246,USA,Jun,North,6.0
1247,USA,Jun,North,6.0
1248,AUSTRALIA,Jun,South,6.0
1249,USA,Jun,North,5.0
1250,USA,Jun,North,5.0
1251,USA,Jun,North,5.0
1252,USA,May,North,5.0
1253,BRAZIL,May,South,5.0
1254,USA,May,North,5.0
1255,USA,May,North,5.0
1256,USA,May,North,5.0
1257,AUSTRALIA,May,South,5.0
1258,USA,May,North,4.0
1259,USA,May,North,4.0
1260,USA,May,North,4.0
1261,USA,Apr,North,4.0
1262,AUSTRALIA,Apr,South,4.0
1263,SOUTH AFRICA,Apr,South,4.0
1264,BRAZIL,Apr,South,4.0
1265,USA,Apr,North,4.0
1266,SIERRA LEONE,Apr,North,3.0
1267,USA,Apr,North,3.0
1268,SOUTH AFRICA,Apr,South,3.0
1269,FIJI,Mar,South,3.0
1270,AUSTRALIA,Mar,South,3.0
1271,USA,Mar,North,2.0
1272,USA,Mar,North,2.0
1273,AUSTRALIA,Mar,South,2.0
1274,AUSTRALIA,Feb,South,2.0
1275,AUSTRALIA,Feb,South,2.0
1276,SOUTH AFRICA,Feb,South,2.0
1277,TONGA,Feb,South,2.0
1278,USA,Feb,North,2.0
1279,ATLANTIC OCEAN,Feb,Both hemispheres,1.0
1280,SOUTH AFRICA,Feb,South,1.0
1281,ATLANTIC OCEAN,Feb,Both hemispheres,1.0
1282,USA,Jan,North,1.0
1283,AUSTRALIA,Jan,South,1.0
1284,BAHAMAS,Jan,North,1.0
1285,AUSTRALIA,Jan,South,1.0
1286,USA,Jan,North,1.0
1287,SOUTH AFRICA,Jan,South,1.0
1288,USA,Jan,North,12.0
1289,USA,Jan,North,12.0
1290,ATLANTIC OCEAN,Jan,Both hemispheres,12.0
1291,AUSTRALIA,Dec,South,12.0
1292,AUSTRALIA,Dec,South,12.0
1293,USA,Dec,North,11.0
1294,USA,Dec,North,11.0
1295,AUSTRALIA,Dec,South,11.0
1296,AUSTRALIA,Nov,South,11.0
1297,SOUTH AFRICA,Nov,South,11.0
1298,NEW CALEDONIA,Nov,South,11.0
1299,USA,Nov,North,11.0
1300,USA,Nov,North,11.0
1301,NEW CALEDONIA,Nov,South,11.0
1302,SOUTH AFRICA,Nov,South,11.0
1303,USA,Nov,North,11.0
1304,USA,Nov,North,11.0
1305,USA,Nov,North,11.0
1306,USA,Nov,North,10.0
1307,ST. MAARTIN,Nov,Both hemispheres,10.0
1308,SOUTH AFRICA,Nov,South,10.0
1309,USA,Oct,North,10.0
1310,USA,Oct,North,10.0
1311,USA,Oct,North,10.0
1312,USA,Oct,North,10.0
1313,GRAND CAYMAN,Oct,Both hemispheres,10.0
1314,USA,Oct,North,10.0
1315,BAHAMAS,Oct,North,10.0
1316,SOUTH AFRICA,Oct,South,10.0
1317,AUSTRALIA,Oct,South,9.0
1318,AUSTRALIA,Oct,South,9.0
1319,AUSTRALIA,Oct,South,9.0
1320,USA,Sep,North,9.0
1321,USA,Sep,North,9.0
1322,USA,Sep,North,9.0
1323,AUSTRALIA,Sep,South,9.0
1324,USA,Sep,North,9.0
1325,AUSTRALIA,Sep,South,9.0
1326,USA,Sep,North,9.0
1327,THAILAND,Sep,North,9.0
1328,AUSTRALIA,Sep,South,8.0
1329,USA,Sep,North,8.0
1330,USA,Sep,North,8.0
1331,USA,Aug,North,8.0
1332,USA,Aug,North,8.0
1333,SOUTH AFRICA,Aug,South,8.0
1334,USA,Aug,North,8.0
1335,USA,Aug,North,8.0
1336,SEYCHELLES,Aug,South,8.0
1337,USA,Aug,North,7.0
1338,USA,Aug,North,7.0
1339,USA,Aug,North,7.0
1340,LIBERIA,Jul,North,7.0
1341,CHINA,Jul,North,7.0
1342,AUSTRALIA,Jul,South,7.0
1343,USA,Jul,North,7.0
1344,USA,Jul,North,7.0
1345,USA,Jul,North,7.0
1346,USA,Jul,North,6.0
1347,USA,Jul,North,6.0
1348,VANUATU,Jul,South,6.0
1349,MEXICO ,Jun,Both hemispheres,6.0
1350,USA,Jun,North,6.0
1351,USA,Jun,North,6.0
1352,SOUTH KOREA,Jun,Both hemispheres,6.0
1353,USA,Jun,North,6.0
1354,USA,Jun,North,6.0
1355,SOUTH AFRICA,Jun,South,6.0
1356,USA,Jun,North,6.0
1357,USA,Jun,North,5.0
1358,USA,Jun,North,5.0
1359,SOUTH AFRICA,Jun,South,5.0
1360,AUSTRALIA,May,South,5.0
1361,USA,May,North,5.0
1362,MADAGASCAR,May,South,5.0
1363,USA,May,North,5.0
1364,USA,May,North,5.0
1365,AUSTRALIA,May,South,4.0
1366,AUSTRALIA,May,South,4.0
1367,AUSTRALIA,May,South,4.0
1368,AUSTRALIA,Apr,South,4.0
1369,USA,Apr,North,4.0
1370,USA,Apr,North,4.0
1371,USA,Apr,North,4.0
1372,USA,Apr,North,4.0
1373,HONDURAS,Apr,North,4.0
1374,SOUTH AFRICA,Apr,South,3.0
1375,AUSTRALIA,Apr,South,3.0
1376,VENEZUELA,Apr,North,3.0
1377,AUSTRALIA,Mar,South,3.0
1378,USA,Mar,North,3.0
1379,SOUTH AFRICA,Mar,South,3.0
1380,NEW ZEALAND,Mar,South,3.0
1381,SOLOMON ISLANDS,Mar,South,3.0
1382,AUSTRALIA,Mar,South,2.0
1383,USA,Mar,North,2.0
1384,USA,Mar,North,2.0
1385,USA,Feb,North,2.0
1386,BRAZIL,Feb,South,2.0
1387,CUBA,Feb,North,1.0
1388,AUSTRALIA,Feb,South,1.0
1389,AUSTRALIA,Feb,South,1.0
1390,NEW ZEALAND,Jan,South,1.0
1391,SRI LANKA,Jan,North,12.0
1392,AUSTRALIA,Jan,South,12.0
1393,AUSTRALIA,Jan,South,12.0
1394,SOUTH AFRICA,Dec,South,11.0
1395,SOUTH AFRICA,Dec,South,11.0
1396,SOUTH AFRICA,Dec,South,11.0
1397,USA,Nov,North,11.0
1398,VANUATU,Nov,South,11.0
1399,NEW CALEDONIA,Nov,South,11.0
1400,CUBA,Nov,North,10.0
1401,NEW ZEALAND,Nov,South,10.0
1402,SOUTH AFRICA,Nov,South,10.0
1403,AUSTRALIA,Oct,South,10.0
1404,USA,Oct,North,10.0
1405,USA,Oct,North,10.0
1406,SOUTH AFRICA,Oct,South,10.0
1407,REUNION,Oct,South,10.0
1408,USA,Oct,North,10.0
1409,USA,Oct,North,10.0
1410,AUSTRALIA,Oct,South,9.0
1411,USA,Oct,North,9.0
1412,USA,Oct,North,9.0
1413,BRAZIL,Sep,South,9.0
1414,USA,Sep,North,9.0
1415,USA,Sep,North,8.0
1416,BRAZIL,Sep,South,8.0
1417,USA,Sep,North,8.0
1418,USA,Aug,North,8.0
1419,USA,Aug,North,8.0
1420,AUSTRALIA,Aug,South,8.0
1421,SOUTH AFRICA,Aug,South,8.0
1422,USA,Aug,North,7.0
1423,RUSSIA,Aug,North,7.0
1424,USA,Aug,North,7.0
1425,USA,Jul,North,7.0
1426,USA,Jul,North,7.0
1427,USA,Jul,North,7.0
1428,AUSTRALIA,Jul,South,7.0
1429,JAPAN,Jul,North,7.0
1430,AUSTRALIA,Jul,South,7.0
1431,EGYPT,Jul,North,7.0
1432,USA,Jul,North,7.0
1433,USA,Jul,North,6.0
1434,AUSTRALIA,Jul,South,6.0
1435,USA,Jul,North,6.0
1436,AUSTRALIA,Jun,South,6.0
1437,USA,Jun,North,6.0
1438,SOUTH AFRICA,Jun,South,6.0
1439,USA,Jun,North,5.0
1440,BRAZIL,Jun,South,5.0
1441,USA,Jun,North,5.0
1442,USA,May,North,5.0
1443,USA,May,North,5.0
1444,USA,May,North,5.0
1445,BRAZIL,May,South,5.0
1446,BAHAMAS,May,North,5.0
1447,USA,May,North,5.0
1448,BRAZIL,May,South,5.0
1449,AUSTRALIA,May,South,4.0
1450,NEW ZEALAND,May,South,4.0
1451,TONGA,May,South,4.0
1452,TONGA,Apr,South,4.0
1453,USA,Apr,North,4.0
1454,SOUTH AFRICA,Apr,South,4.0
1455,USA,Apr,North,4.0
1456,USA,Apr,North,3.0
1457,USA,Apr,North,3.0
1458,BRAZIL,Apr,South,3.0
1459,USA,Mar,North,3.0
1460,REUNION,Mar,South,3.0
1461,USA,Mar,North,3.0
1462,USA,Mar,North,3.0
1463,NEW ZEALAND,Mar,South,3.0
1464,USA,Mar,North,3.0
1465,AUSTRALIA,Mar,South,3.0
1466,BRAZIL,Mar,South,2.0
1467,NEW ZEALAND,Mar,South,2.0
1468,AUSTRALIA,Mar,South,2.0
1469,AUSTRALIA,Feb,South,2.0
1470,EGYPT,Feb,North,2.0
1471,AUSTRALIA,Feb,South,2.0
1472,AUSTRALIA,Feb,South,1.0
1473,URUGUAY,Feb,Both hemispheres,1.0
1474,NEW ZEALAND,Feb,South,1.0
1475,VENEZUELA,Jan,North,1.0
1476,VENEZUELA,Jan,North,1.0
1477,SOUTH AFRICA,Jan,South,1.0
1478,AUSTRALIA,Jan,South,1.0
1479,SOUTH AFRICA,Jan,South,1.0
1480,NEW ZEALAND,Jan,South,1.0
1481,EGYPT,Jan,North,1.0
1482,SOUTH AFRICA,Jan,South,12.0
1483,USA,Jan,North,12.0
1484,USA,Jan,North,12.0
1486,AUSTRALIA,Dec,South,12.0
1487,AUSTRALIA,Dec,South,11.0
1488,AUSTRALIA,Dec,South,11.0
1489,SOUTH AFRICA,Dec,South,11.0
1490,USA,Dec,North,11.0
1491,INDIA,Nov,North,11.0
1492,USA,Nov,North,11.0
1493,EGYPT,Nov,North,11.0
1494,SOUTH AFRICA,Nov,South,11.0
1495,AUSTRALIA,Nov,South,11.0
1496,PANAMA,Nov,North,11.0
1497,USA,Nov,North,10.0
1498,AUSTRALIA,Nov,South,10.0
1499,USA,Nov,North,10.0
1500,USA,Nov,North,10.0
1501,USA,Oct,North,10.0
1502,USA,Oct,North,10.0
1503,USA,Oct,North,10.0
1504,USA,Oct,North,10.0
1505,USA,Oct,North,10.0
1506,USA,Oct,North,10.0
1507,USA,Oct,North,10.0
1508,USA,Oct,North,10.0
1509,FIJI,Oct,South,9.0
1510,USA,Oct,North,9.0
1511,USA,Oct,North,9.0
1512,USA,Oct,North,9.0
1513,USA,Sep,North,9.0
1514,USA,Sep,North,9.0
1515,SOUTH AFRICA,Sep,South,9.0
1516,USA,Sep,North,9.0
1517,USA,Sep,North,9.0
1518,USA,Sep,North,9.0
1519,SOUTH AFRICA,Sep,South,9.0
1520,USA,Sep,North,9.0
1521,USA,Sep,North,8.0
1522,USA,Sep,North,8.0
1523,USA,Sep,North,8.0
1524,SOUTH AFRICA,Sep,South,8.0
1525,AUSTRALIA,Aug,South,7.0
1526,USA,Aug,North,7.0
1527,USA,Aug,North,7.0
1528,BAHAMAS,Aug,North,7.0
1529,USA,Jul,North,7.0
1530,USA,Jul,North,7.0
1531,BAHAMAS,Jul,North,7.0
1532,USA,Jul,North,7.0
1533,FRENCH POLYNESIA,Jul,South,7.0
1534,NEW ZEALAND,Jul,South,7.0
1535,USA,Jul,North,6.0
1536,USA,Jul,North,6.0
